model,qid,type,coll,auto_pass,note,sec,answer,expected
gemma3,L01,답있음,policy_e5,1,ok,138.8,"**동양생명 (2세대):** 상해로 입원하여 치료를 받은 경우, 입원의료비는 하나의 상해당 보험가입금액(5,000만원)을 한도로 보상합니다. 입원실료, 입원제비용, 입원수술비를 합산하여 '국민건강보험법에서 정한 요양급여 또는 의료급여법에 서 정한 의료급여 중 본인부담금'과 ‘비급여(상급병실료 차액 제외)’ 부분의 합계액 중 90% 해당액을 보상하며, 10% 해당액이 연간 200만원을 초과하는 경우 그 초과금액도 보상합니다. (출처: 동양생명 2세대, 제3조(담보종목별 보장내용) 제1항)

**NH농협생명:** 상해로 입원하여 치료를 받은 경우, 입원의료비는 하나의 상해당 보험가입금액(5,000만원)을 한도로 보상합니다. 입원실료, 입원제비용, 입원수술비를 합산하여 '국민건강보험법에서 정한 요양급여 또는 의료급여법에서정한 의료급여 중 본인부담금'과 ‘비급여(국민건강보험또는 의료급여법에 따라 보건복지부 장관이 정한 비급여 대상, 입원시 실제사용병실과 기준병실과의 병실료 차액 제외)’의 ","상해당 보험가입금액(예: 5,000만원) 한도, 최초 입원일부터 365일까지 보상 + 출처 표기"
gemma3,L02,답있음,policy_e5,1,ok,43.3,"NH농협생명: 계약자는 보험증권을 받은 날부터 15일 이내에 청약을 철회할 수 있습니다. 다만, 진단계약, 보험기간이 1년 미만인 계약, 전문보험계약자가 체결한 계약은 철회할 수 없습니다. (출처: NH농협생명 unknown, 제17조(청약의 철회) 제1항, 제18조(청약의 철회) 제1항)",보험증권 받은 날부터 15일 이내. 진단계약 등 예외(철회 불가) 언급하면 가점
gemma3,L03,답있음,policy_e5,1,ok,26.9,"삼성화재 4세대: 회사가 보상하지 않는 사항은 보장종목별로 다음과 같습니다. (1) 상해급여 (출처: 삼성화재 4세대, 제4조(보상하지 않는 사항))

NH농협생명: 회사가 보상하지 않는 사항은 보장종목별로 다음과 같습니다. (1) 상해급여 (출처: NH농협생명 unknown, 제4조(보상하지 않는 사항))",제4조 보상하지 않는 사항 — 보장종목별 면책 내용 + 출처 표기
gemma3,L04,답있음,policy_e5,1,ok,134.4,"**동양생명 2세대:**

보험수익자는 다음 서류를 제출하고 보험금을 청구해야 합니다.

1. 청구서(회사 양식)
2. 사고증명서 (진단서(병명기입) 등 또는 장해진단서, 진단서(병명기입), 입원확인서, 수술확인서, 사고사실확인서(관할경찰서장 발행) 등 또는 사망진단서 등)
3. 신분증 (주민등록증 또는 운전면허증 등 사진이 부착된 정부기관 발행 신분증, 본인이 아닌 경우에는 본인의 인감증명서 포함)
4. 기타 보험수익자가 보험금 수령에 필요하여 제출하는 서류

(출처: 동양생명 2세대, 제18조(보험금 등 청구시 구비서류) 제1항, 제3조(의료기관) 제1항, 제15조(보험금 등 청구시 구비서류) 제1항)

**동양생명 4세대:**

보험수익자는 다음 서류를 제출하고 보험금을 청구해야 합니다.

1. 청구서(회사 양식)
2. 사고증명서 (진료비 계산서·영수증, 진료비 세부산정내역, 한방진료비 계산서·영수증, 한방진료비 세부산정내역, 약제비 계산서·영수증, 약제비 세부산정내역, 입원치",청구서(회사양식)+사고증명서(진료비 계산서 등) 제출. 보험사별 조항 상이 시 구분
gemma3,L05,답있음,policy_e5,1,ok,154.0,"**삼성화재 (2세대):** 보험료의 납입이 연체되는 경우 납입최고(독촉)와 특별약관의 해지가 발생합니다. (출처: 삼성화재 2세대, 제20조(보험료의 …))

**NH농협생명:** 계약자가 제2회 이후의 보험료를 납입기일까지 납입하지 않아 보험료 납입이 연체 중인 경우, 회사는 14일(보험기간이 1년 미만인 경우에는 7일) 이상의 기간을 납입최고(독촉)기간으로 정하여 계약자에게 납입최고(독촉)기간 내에 연체보험료를 납입해야 한다는 내용과 납입최고(독촉)기간이 끝나는 날까지 보험료를 납입하지 않을 경우 계약이 해지된다는 내용을 알립니다. (출처: NH농협생명 unknown, 제28조(보험료의 납입이 연체되는 경우 납입최고(독촉) 제1항))

**삼성화재 (3세대):** 계약자가 제2회 이후의 보험료를 납입기일까지 납입하지 않아 보험료 납입이 연체 중인 경우, 회사는 14일(보험기간이 1년 미만인 경우에는 7일) 이상의 기간을 납입최고(독촉)기간으로 정하여 계약자에게 다음 각 호의 내",14일(보험기간 1년 미만은 7일) 이상 납입최고(독촉) 후 해지 절차 + 출처
gemma3,L06,답있음,policy_e5,0,과잉 거부,13.5,"제공된 약관에서 확인할 수 없습니다. (출처: DB손해보험 2세대, 13(알릴 의무 위반의 효과) 제1항)",청약 시 고지 의무. 검색상 '위반의 효과' 조항 중심이면 위반 시 해지 가능 내용 포함 허용
gemma3,L07,답있음,policy_e5,1,ok,68.1,"동양생명: 상급병실료 차액은 제외됩니다. 입원 시 실제로 사용한 병실과 기준병실의 병실료 차액에서 50%를 뺀 금액이며, 1일 평균금액 10만원을 한도로 합니다. (출처: 동양생명 3세대, 제3조(보장종목별 보상내용) [표])
삼성화재: 상급병실료 차액은 제외됩니다. 입원 시 실제로 사용한 병실과 기준병실의 병실료 차액에서 50%를 뺀 금액이며, 1일 평균금액 10만원을 한도로 합니다. (출처: 삼성화재 3세대, 제3조(보장종목별 보상내용) [표])
DB손해보험: 상급병실료 차액은 제외됩니다. 입원 시 실제로 사용한 병실과 기준병실의 병실료 차액에서 50%를 뺀 금액이며, 1일 평균금액 10만원을 한도로 합니다. (출처: DB손해보험 3세대, 3(보장종목별 보상내용) 제1항)","상급병실료 차액의 50% 공제 후 보상, 1일 평균 10만원 한도 + 출처"
gemma3,L08,답있음,policy_e5,1,ok,69.0,"NH농협생명 실손의료보험 약관에 따르면, 한방치료에서 발생한 「국민건강보험법」에 따른 요양급여에 해당하지 않는 비급여 의료비는 보상하지 않습니다. 다만, 의료법 제2조에 따른 한의사를 제외한 ‘의사’의 의료행위에 의해서 발생한 의료비는 보상합니다. (출처: NH농협생명 unknown, 제4조(보상하지 않는 사항) [표])",한방치료 비급여는 면책(보상하지 않는 사항). 급여 부분 예외 언급 시 가점
gemma3,L09,답있음,policy_e5,0,과잉 거부,52.5,"제공된 약관에서 확인할 수 없습니다. (출처: 삼성화재 2세대, 제4조(보상하지않는사항) 제3항)",치과치료 면책(안면부 골절 예외). 보상하지 않는 사항 조항 근거 + 출처
gemma3,L10,답있음,policy_e5,1,ok,73.4,"**삼성화재 (4세대, 5세대):**

상급병실을 이용함에 따라 요양급여 대상인 입원료 외에 추가로 부담하는 입원실 이용 비용에서 50%를 뺀 금액을 보상합니다. (출처: 삼성화재 4세대, 제2조(보상내용) 제1항 / 삼성화재 5세대, 제2조(보상내용) 제1항)

**DB손해보험 (4세대):**

입원 시 입원실료, 입원제비용, 입원수술비를 보상하며, 통원 시 외래제비용, 외래수술비, 처방조제비를 보상합니다. 각 치료 항목별로 ""국민건강보험법""에서 정한 요양급여 또는 ""의료급여법""에서 정한 의료급여 중 본인부담금의 80%에 해당하는 금액을 보상합니다. (출처: DB손해보험 4세대, 3(보장종목별 보상내용) 제1항)",공제금액 설명 (통원 항목별 공제 등) + 출처
gemma3,L11,답있음,policy_e5,0,과잉 거부,71.6,"네, 맞습니다. 보험 약관에 따라 보상하지 않는 치료비들이 있습니다.

**삼성화재 2세대:** 진료와 무관한 제비용(TV 시청료, 전화료, 제증명료 등), 의사의 임상적 소견과 관련이 없는 검사 비용, 간병비, 산재보험에서 보상받는 의료비 등이 보상 대상에 포함되지 않습니다. (출처: 삼성화재 2세대, 제4조(보상하지않는사항) [표])

**NH농협생명:** 국민건강보험 요양급여의 기준에 따라 보건복지부장관이 정한 급여 및 비급여 의료비 항목에 한해 통원의료비를 보상하며, 외래의 경우 1회당 20만원, 처방조제비의 경우 1건당 10만원을 최고한도로 합니다. (출처: NH농협생명 unknown, 제3조(담보종목별 보상내용) [표])",보험가입금액 한도 존재 설명 + 출처
gemma3,L12,답있음,policy_e5,1,ok,23.5,"계약을 중간에 해지하는 경우, 회사는 해당 약관에 따른 해지환급금을 계약자에게 지급합니다. (출처: 삼성화재 3세대, 제29조(계약자의임의해지)) / (출처: 삼성화재 3세대, 제28조(계약자의임의해지)) / (출처: 삼성화재 2세대, 제28조(계약자의임의해지))","임의해지 가능, 해지환급금 관련 내용 + 출처"
gemma3,L13,답있음,policy_e5,1,ok,61.0,"삼성화재 4세대: 회사는 다음 조건을 충족하고, 계약의 보험기간이 끝나는 날의 전날까지 계약자로부터 별도의 의사표시가 없을 때에는 계약은 동일한 보장내용으로 자동으로 갱신되는 것으로 합니다. (출처: 삼성화재 4세대, 제47조(계약의 갱신 및 보험기간) 제1항)
삼성화재 3세대: 회사는 다음 조건을 충족하고, 계약의 보험기간이 끝나는 날의 전날까지 계약자로부터 별도의 의사표시가 없을 때에는 계약은 동일한 보장내용으로, 자동으로 갱신되는 것으로 합니다. (출처: 삼성화재 3세대, 제45조(계약의 갱신 및 보험기간) 제1항)
삼성화재 2세대: 계약이 갱신되는 경우, 갱신계약의 보장개시는 갱신일 당일부터 개시됩니다. (출처: 삼성화재 2세대, 제44조(계약의갱신및보험기간))",계약 갱신·보험기간 조항 기반 설명 + 출처
gemma3,L14,답있음,policy_e5,1,ok,31.0,"DB손해보험 상품에 따라 통원항목별 공제금액은 1만원과 보장대상 의료비의 20% 중 큰 금액입니다. (출처: DB손해보험 4세대, 3(보장종목별 보상내용) 제1항)",의료기관 종류별 공제금액 표 수치 (표 청크 근거) + 출처
gemma3,L15,답있음,policy_e5,1,ok,61.1,"삼성화재에 따라 다릅니다.

*   **삼성화재 2세대:** 처방조제비는 약국에서 8천원을 공제합니다. (출처: 삼성화재 2세대, p15 [표])
*   **삼성화재 5세대:** 처방, 조제 시 3만원과 보장대상 의료비의 30% 중 큰 금액을 공제합니다. (출처: 삼성화재 5세대, 제3조(보상종목별 보상내용) 제1항)
*   **DB손해보험 3세대:** 처방, 조제 시 8천원과 공제기준금액(보상대상의료비의 급여 10% 해당액과 비급여 20% 해당액의 합산액) 중 큰 금액을 공제합니다. (출처: DB손해보험 3세대, 3(보장종목별 보상내용) 제7항)","처방조제비 공제금액, 연간 처방전 180건 한도 언급 시 가점 + 출처"
